scheme,source_url
SBI Large Cap Fund,https://www.sbimf.com/sbimf-scheme-details/sbi-large-cap-fund-(formerly-known-as-sbi-bluechip-fund)-43
SBI Small Cap Fund,https://www.sbimf.com/sbimf-scheme-details/sbi-small-cap-fund-329
SBI Long Term Equity Fund,https://www.sbimf.com/sbimf-scheme-details/sbi-long-term-equity-fund-(previously-known-as-sbi-magnum-taxgain-scheme)-3
SBI Focused Fund,https://www.sbimf.com/sbimf-scheme-details/sbi-focused-fund-25
SBI Large Cap Fund KIM,https://www.sbimf.com/docs/default-source/scheme-portfolios/default-library/kim---sbi-blue-chip-fund.pdf
SBI Small Cap Fund KIM,https://www.sbimf.com/docs/default-source/scheme-portfolios/default-library/kim---sbi-small-cap-fund869f4208bc54401b889817563b1773e1.pdf
SBI Long Term Equity Fund KIM,https://www.sbimf.com/docs/default-source/lists/kim---sbi-long-term-equity-fund.pdf
SBI Focused Fund KIM,https://www.sbimf.com/docs/default-source/lists/kim---sbi-focused-equity-fund.pdf
SBI Large Cap Fund SID,https://www.sbimf.com/docs/default-source/lists/sid---sbi-bluechip-fund.pdf
SBI Small Cap Fund SID,https://www.sbimf.com/docs/default-source/lists/sid---sbi-small-cap-fund.pdf
SBI Long Term Equity Fund SID,https://www.sbimf.com/docs/default-source/scheme-portfolios/default-library/sid---sbi-long-term-equity-fund4a5d5f3fb2654d8c9a6602880f0ae5ce.pdf
SBI Focused Fund SID,https://www.sbimf.com/docs/default-source/lists/sid---sbi-focused-equity-fund8e2c7cdd32b14610a2a668b2f016c1eb.pdf
SBI Large Cap Fund Factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-largecap-fund-factsheet-september-2025.pdf
SBI Small Cap Fund Factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-small-cap-fund-factsheet-october-2025.pdf
SBI Long Term Equity Fund Factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-elss-tax-saver-fund-factsheet-june-2025.pdf
SBI Focused Fund Factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-focused-fund-factsheet-june-2025.pdf
AMFI Expense Ratio,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=expenseRatio
AMFI Circular,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/1a.%20SEBI's%20Letter%20to%20AMFI%20dt.%2015-Oct-2019.pdf
AMFI Introduction,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=IntroductionMutualFunds
SEBI Riskometer,https://investor.sebi.gov.in/riskometer.html
SEBI Chapter 16,https://www.sebi.gov.in/sebi_data/commondocs/ch16_p.pdf
